canon	variant
Teleilat el Ghassul	Teleilat el Ghassul
Tell 'Abr	Tell 'Abr
Tell 'Abr	Tell Abr
Tell 'Abr 3	Tell 'Abr 3
Tell 'Abr 3	Tell ‘Abr 3
Tell 'Abr 3	Tell Abr 3
Tell Ahmar	Tell Ahmar
Tell Ahmar	Tell Ahmar (Til Barsip)
Tell Ahmar	Til Barsip
Tell Ain el-Kerkh	Tell Ain el-Kerkh
Tell Ain el-Kerkh	Tell Ain el-Kherkh
Tell Ain el-Kerkh	Tell El-Kerkh
Tell Ain el-Kerkh	el-Kerkh 2
Tell Aqab	Tell Aqab
Tell Aray 2	Tell Aray 2
Tell Aswad	Tell Assouad
Tell Aswad	Tell Aswad
Tell Aswad	Tell Aswad I
Tell Aswad	Tell Aswad II
Tell Atchana	Alalakh
Tell Atchana	Tell Atchana
Tell Atchana	Tell Atchana (Alalakh)
Tell Beydar	Tell Beydar
Tell Brak	Tell Brak
Tell Fadous-Kfarabida	Tell Fadous-Kfarabida
Tell Feres	Tell Feres
Tell Ghoraifé	Tell Ghoraifé
Tell Halula	Tell Hallula
Tell Halula	Tell Halula
Tell Hammam et-Turkman	Tell Hammam et-Turkman
Tell Kuran	Tell Kuran
Tell Kurdu	Tell Kurdu
Tell Leilan	Tell Leilan
Tell Madhhur	Tell Madhhur
Tell Maghzaliyeh	Magzalia
Tell Maghzaliyeh	Tell Maghzaliyeh
Tell Maghzaliyeh	Tell Maghzaliyeh (Magzalia)
Tell Maghzaliyeh	Tell Magzaliyah
Tell Mashnaqa	Tell Mashnaqa
Tell Mureybit	Tell Mureybit
Tell Nebi Mend	Tell Nebi Mend
Tell Nebi Mend	Tell Nebi Mend (Kadesh)
Tell Qaramel	Tell Qaramel
Tell Qarassa North	Tell Qarassa
Tell Qarassa North	Tell Qarassa North
Tell Rakan	Tell Rakan
Tell Ramad	Tell Ramad
Tell Ras Shamra	Tell Ras Shamra
Tell Saadiya	Tell Saadiya
Tell Seker al-Aheimar	Seker al-Aheimar
Tell Seker al-Aheimar	Tell Seker al-Aheimar
Tell Shoqet	Tell Shoqet
Tell Sotto	Tell Sotto
Tell Sukas	Tell Sukas
Tell Teo	Tell Teo
Tell Wadi Faynan	Tell Wadi Faynan
Tell Wadi Faynan	Tell Wadi Feinan
